date,average,industry
2013-03,60.357,Industrials
2013-04,60.779,Industrials
2013-05,64.217,Industrials
2013-06,64.916,Industrials
2013-07,67.604,Industrials
2013-08,69.367,Industrials
2013-09,71.666,Industrials
2013-10,73.993,Industrials
2013-11,78.912,Industrials
2013-12,80.487,Industrials
2014-01,82.038,Industrials
2014-02,81.633,Industrials
2014-03,83.19,Industrials
2014-04,84.065,Industrials
2014-05,85.565,Industrials
2014-06,86.943,Industrials
2014-07,86.001,Industrials
2014-08,85.247,Industrials
2014-09,87.007,Industrials
2014-10,84.515,Industrials
2014-11,90.353,Industrials
2014-12,91.486,Industrials
2015-01,91.127,Industrials
2015-02,95.097,Industrials
2015-03,95.024,Industrials
2015-04,94.951,Industrials
2015-05,94.556,Industrials
2015-06,94.432,Industrials
2015-07,93.962,Industrials
2015-08,93.261,Industrials
2015-09,90.102,Industrials
2015-10,95.352,Industrials
2015-11,99.514,Industrials
2015-12,98.573,Industrials
2016-01,93.173,Industrials
2016-02,94.719,Industrials
2016-03,100.481,Industrials
2016-04,104.046,Industrials
2016-05,105.208,Industrials
2016-06,106.489,Industrials
2016-07,110.595,Industrials
2016-08,111.215,Industrials
2016-09,109.023,Industrials
2016-10,108.48,Industrials
2016-11,114.957,Industrials
2016-12,118.014,Industrials
2017-01,118.021,Industrials
2017-02,120.294,Industrials
2017-03,123.295,Industrials
2017-04,124.036,Industrials
2017-05,126.951,Industrials
2017-06,130.784,Industrials
2017-07,133.506,Industrials
2017-08,137.378,Industrials
2017-09,140.492,Industrials
2017-10,146.25,Industrials
2017-11,146.75,Industrials
2017-12,152.024,Industrials
2018-01,162.448,Industrials
2018-02,163.131,Industrials
2018-03,159.329,Industrials
2018-04,157.511,Industrials
2018-05,155.902,Industrials
2018-06,155.286,Industrials
2018-07,154.36,Industrials
2018-08,154.479,Industrials
2018-09,159.947,Industrials
2018-10,155.952,Industrials
2018-11,145.68,Industrials
2018-12,136.359,Industrials
2019-01,141.54,Industrials
2019-02,156.612,Industrials
2019-03,154.095,Industrials
2019-04,157.204,Industrials
2019-05,155.22,Industrials
2019-06,158.697,Industrials
2019-07,162.991,Industrials
2019-08,161.299,Industrials
2019-09,169.562,Industrials
2019-10,165.768,Industrials
2019-11,172.64,Industrials
2019-12,169.695,Industrials
2020-01,175.432,Industrials
2020-02,170.074,Industrials
2020-03,130.504,Industrials
2020-04,132.277,Industrials
2020-05,130.754,Industrials
2020-06,143.026,Industrials
2020-07,140.84,Industrials
2020-08,150.676,Industrials
2020-09,151.736,Industrials
2020-10,151.012,Industrials
2020-11,158.292,Industrials
2020-12,164.445,Industrials
2021-01,160.74,Industrials
2021-02,164.085,Industrials
2021-03,174.797,Industrials
2021-04,185.794,Industrials
2021-05,192.444,Industrials
2021-06,191.609,Industrials
2021-07,187.419,Industrials
2021-08,185.054,Industrials
2021-09,179.71,Industrials
2021-10,182.994,Industrials
2021-11,181.185,Industrials
2021-12,179.154,Industrials
2022-01,187.368,Industrials
2022-02,184.493,Industrials
2022-03,193.374,Industrials
2022-04,192.165,Industrials
2022-05,183.36,Industrials
2022-06,180.813,Industrials
2022-07,176.486,Industrials
2022-08,188.789,Industrials
2022-09,176.989,Industrials
2022-10,180.325,Industrials
2022-11,202.024,Industrials
2022-12,207.29,Industrials
2023-01,203.958,Industrials
2023-02,203.523,Industrials
2023-03,201.084,Industrials
2023-04,204.453,Industrials
2023-05,195.882,Industrials
2023-06,202.792,Industrials
2023-07,207.052,Industrials
2023-08,204.388,Industrials
2023-09,196.558,Industrials
2023-10,194.117,Industrials
2023-11,199.189,Industrials
2023-12,213.234,Industrials
2024-01,211.516,Industrials
2024-02,209.781,Industrials
2024-03,218.139,Industrials
2024-04,221.884,Industrials
2024-05,225.232,Industrials
2024-06,220.592,Industrials
2024-07,226.272,Industrials
2024-08,239.408,Industrials
2024-09,246.672,Industrials
2024-10,257.023,Industrials
